id,Geographic Area Name,Total_Population_18plus,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher,zcta
8600000US90001,ZCTA5 90001,40854,19516,10445,8796,2097,90001
8600000US90002,ZCTA5 90002,36045,16371,9756,8001,1917,90002
8600000US90003,ZCTA5 90003,50055,21705,14955,10677,2718,90003
8600000US90004,ZCTA5 90004,48931,11842,10953,9959,16177,90004
8600000US90005,ZCTA5 90005,32524,9105,7568,6208,9643,90005
8600000US90006,ZCTA5 90006,46347,18172,11085,8851,8239,90006
8600000US90007,ZCTA5 90007,36428,7408,5746,14058,9216,90007
8600000US90008,ZCTA5 90008,26752,4020,5082,10223,7427,90008
8600000US90010,ZCTA5 90010,3429,276,554,955,1644,90010
8600000US90011,ZCTA5 90011,76066,39243,17744,15181,3898,90011
8600000US90012,ZCTA5 90012,33437,9242,6360,7309,10526,90012
8600000US90013,ZCTA5 90013,12154,1828,2384,3335,4607,90013
8600000US90014,ZCTA5 90014,8561,1143,1488,2297,3633,90014
8600000US90015,ZCTA5 90015,18648,4820,2884,4291,6653,90015
8600000US90016,ZCTA5 90016,36892,8828,7931,11505,8628,90016
8600000US90017,ZCTA5 90017,21792,7362,3399,4500,6531,90017
8600000US90018,ZCTA5 90018,41187,11155,10283,11822,7927,90018
8600000US90019,ZCTA5 90019,52987,11911,10137,13382,17557,90019
8600000US90020,ZCTA5 90020,32031,5368,7246,6623,12794,90020
8600000US90021,ZCTA5 90021,2612,835,440,598,739,90021
8600000US90022,ZCTA5 90022,48808,20209,12562,11981,4056,90022
8600000US90023,ZCTA5 90023,33345,15556,8644,6964,2181,90023
8600000US90024,ZCTA5 90024,47451,917,4731,22816,18987,90024
8600000US90025,ZCTA5 90025,41378,2794,3468,7280,27836,90025
8600000US90026,ZCTA5 90026,57531,12581,9608,13842,21500,90026
8600000US90027,ZCTA5 90027,39488,3809,5895,8762,21022,90027
8600000US90028,ZCTA5 90028,27759,2871,4522,7886,12480,90028
8600000US90029,ZCTA5 90029,31206,7785,7098,7501,8822,90029
8600000US90031,ZCTA5 90031,31306,11359,6652,6920,6375,90031
8600000US90032,ZCTA5 90032,37525,11184,8566,10992,6783,90032
8600000US90033,ZCTA5 90033,34861,15653,8523,6720,3965,90033
8600000US90034,ZCTA5 90034,46559,4072,5232,11465,25790,90034
8600000US90035,ZCTA5 90035,21341,1051,2428,4753,13109,90035
